
min_ts              max_ts              min_val avg_val max_val
------------------- ------------------- ------- ------- ------- 
2025-01-10T15:40:12 2025-01-10T15:40:12 118.493 118.493 118.493 
2025-01-09T16:21:00 2025-01-09T16:21:00 160.242 181.603 202.965 
2025-01-08T22:51:36 2025-01-08T22:51:36 171.396 171.396 171.396 
2025-01-07T23:32:24 2025-01-07T23:32:24 101.008 101.008 101.008 
2025-01-07T17:42:36 2025-01-07T17:42:36  51.535  51.535  51.535 
2025-01-07T06:03:00 2025-01-07T06:03:00 156.222 156.222 156.222 
2025-01-06T18:23:24 2025-01-06T18:23:24  49.333  49.333  49.333 
2025-01-06T00:54:00 2025-01-06T00:54:00 360.605 360.605 360.605 
2025-01-05T01:34:48 2025-01-05T01:34:48 111.191 111.191 111.191 
2025-01-04T19:45:00 2025-01-04T19:45:00 111.628 111.628 111.628 
2025-01-04T08:05:24 2025-01-04T08:05:24  33.298  33.298  33.298 
2025-01-02T09:27:00 2025-01-02T09:27:00  15.225  15.225  15.225 
2025-01-02T03:37:12 2025-01-02T03:37:12  56.862  56.862  56.862 
2025-01-01T10:07:48 2025-01-01T10:07:48   47.13   47.13   47.13 
2024-12-29T18:00:00 2024-12-29T18:00:00 139.835 498.243 856.651 
2024-12-28T07:01:12 2024-12-28T07:01:12 513.288 513.288 513.288 
2024-12-27T01:52:12 2024-12-27T01:52:12  88.903  88.903  88.903 
2024-12-26T20:02:24 2024-12-26T20:02:24  33.674  33.674  33.674 
2024-12-24T15:34:12 2024-12-24T15:34:12 257.202 257.202 257.202 
2024-12-23T16:15:00 2024-12-23T16:15:00 124.998 124.998 124.998 
2024-12-21T23:26:24 2024-12-21T23:26:24  78.895 278.421 634.233 
2024-12-21T05:57:00 2024-12-21T05:57:00   47.35   47.35   47.35 
2024-12-20T00:48:00 2024-12-20T00:48:00  71.667  71.667  71.667 
